"","Control 2h","Control 2h_2","Control 2h_3","Control 6h_1","Control 6h_2","Control 6h_3","Control 10h_1","Control 10h_2","Control 10h_3","Control 24h_1","Control 24h_2","Control 24h_3","Virus 2h_1","Virus 2h_2","Virus 2h_3","Virus 6h_1","Virus 6h_2","Virus 6h_3","Virus 10h_1","Virus 10h_2","Virus 10h_3","Virus 24h_1","Virus 24h_2","Virus 24h_3"
"43891",70.9804,92.6065,93.9208,67.618,91.752,82.3455,74.1739,84.8177,77.1541,91.9663,95.4095,89.853,73.8309,94.0743,84.3371,75.1305,92.5467,79.382,81.2795,91.1112,73.1533,84.329,107.364,98.4035
"43892",322.492,331.24,299.725,341.955,327.451,291.29,344.789,320.189,339.524,350.523,342.9,270.866,348.299,333.571,309.873,344.399,361.838,318.721,332.18,312.399,336.094,319.562,266.335,276.214
"43895",66.5968,56.26,52.2355,61.3745,50.646,47.1843,70.2171,50.6474,56.9897,59.7304,53.258,49.8492,53.5973,51.6996,53.2501,61.8998,54.3504,49.9891,61.6645,48.1649,54.2295,60.6649,55.6191,48.0025
"44076",2764.7,2659.77,2605.76,2656.99,2569.47,2637.16,2643.21,2528.47,2623.41,2625.81,2584.22,2552.9,2656.85,2603.3,2585.01,2684.12,2618.44,2594.76,2661.84,2608.32,2548.4,2724.46,2591.78,2609.49
"44080",21.0943,23.6995,24.2877,17.0479,18.549,20.5981,19.0838,23.1942,25.037,19.1593,20.0879,19.6657,16.5451,20.2568,26.7687,19.4496,23.6105,28.1481,18.8717,14.8043,21.3152,21.8309,25.1775,26.4656
"44081",3274.17,3323.15,3127.48,3212.85,3163.73,2980.01,3101.67,3096.98,3015.35,3086.94,3073.67,2980.72,3290.83,3229.03,3080.24,3232.37,3216.39,3086.36,3235.78,3178.71,3102.84,3473.48,3424.81,3268.41
"44082",360.839,337.697,351.088,338.932,344.212,332.766,357.539,328.292,341.338,364.178,353.764,352.102,368.844,347.793,389.639,361.833,344.258,348.724,370.258,323.369,345.868,379.914,323.607,331.251
"44083",3368.27,3312.38,3345.21,3371.56,3344.02,3353.65,3253.22,3279.59,3296.15,3511.51,3395.96,3407.61,3470.41,3238.23,3291.71,3355.41,3297.38,3327.6,3404.14,3327.86,3278.44,3625.07,3210.72,3197.69
"44084",618.159,618.381,589.999,628.78,619.668,611.044,629.256,568.783,585.514,630.227,594.192,574.423,609.301,620.597,639.041,619.327,589.923,601.944,628.831,600.291,624.759,658.343,658.764,649.182
"44085",918.932,889.366,830.076,871.522,843.41,820.768,904.151,886.886,848.411,894.295,863.59,810.859,888.671,876.886,821.937,921.806,866.122,828.785,917.437,881.282,818.03,936.74,886.194,911.827
