genes	time	treatment	replicate	normalized_counts	mean_over_replicates	estimate	p.value	regulation	significance
NPLOC4	2h	Control	1	1097.2757395331814	1107.895703404644	18.845153277440243	0.4185234977803908	Upregulated	Not significant
NPLOC4	2h	Control	2	1143.4334196405828	1107.895703404644	18.845153277440243	0.4185234977803908	Upregulated	Not significant
NPLOC4	2h	Control	3	1082.9779510401684	1107.895703404644	18.845153277440243	0.4185234977803908	Upregulated	Not significant
NPLOC4	2h	Virus	1	1106.3050660680371	1126.7408566820845	18.845153277440243	0.4185234977803908	Upregulated	Not significant
NPLOC4	2h	Virus	2	1137.873978723178	1126.7408566820845	18.845153277440243	0.4185234977803908	Upregulated	Not significant
NPLOC4	2h	Virus	3	1136.0435252550385	1126.7408566820845	18.845153277440243	0.4185234977803908	Upregulated	Not significant
NPLOC4	6h	Control	1	1114.0101511389676	1136.0201820198024	-36.43454125242937	0.09787993080204703	Downregulated	Not significant
NPLOC4	6h	Control	2	1142.555800256932	1136.0201820198024	-36.43454125242937	0.09787993080204703	Downregulated	Not significant
NPLOC4	6h	Control	3	1151.4945946635078	1136.0201820198024	-36.43454125242937	0.09787993080204703	Downregulated	Not significant
NPLOC4	6h	Virus	1	1117.9807694656513	1099.5856407673732	-36.43454125242937	0.09787993080204703	Downregulated	Not significant
NPLOC4	6h	Virus	2	1075.4315478942103	1099.5856407673732	-36.43454125242937	0.09787993080204703	Downregulated	Not significant
NPLOC4	6h	Virus	3	1105.344604942258	1099.5856407673732	-36.43454125242937	0.09787993080204703	Downregulated	Not significant
NPLOC4	10h	Control	1	1127.2636689267474	1108.607879868367	4.5625970779179905	0.8087107811822977	Upregulated	Not significant
NPLOC4	10h	Control	2	1104.6145533931542	1108.607879868367	4.5625970779179905	0.8087107811822977	Upregulated	Not significant
NPLOC4	10h	Control	3	1093.9454172851997	1108.607879868367	4.5625970779179905	0.8087107811822977	Upregulated	Not significant
NPLOC4	10h	Virus	1	1114.3022150316208	1113.1704769462854	4.5625970779179905	0.8087107811822977	Upregulated	Not significant
NPLOC4	10h	Virus	2	1137.9715157519067	1113.1704769462854	4.5625970779179905	0.8087107811822977	Upregulated	Not significant
NPLOC4	10h	Virus	3	1087.2377000553283	1113.1704769462854	4.5625970779179905	0.8087107811822977	Upregulated	Not significant
NPLOC4	24h	Control	1	1102.703410744957	1099.6379266096858	-86.11831698171748	0.009638309217623297	Downregulated	Significant
NPLOC4	24h	Control	2	1112.7153840941257	1099.6379266096858	-86.11831698171748	0.009638309217623297	Downregulated	Significant
NPLOC4	24h	Control	3	1083.4949849899747	1099.6379266096858	-86.11831698171748	0.009638309217623297	Downregulated	Significant
NPLOC4	24h	Virus	1	1008.2182716585511	1013.5196096279684	-86.11831698171748	0.009638309217623297	Downregulated	Significant
NPLOC4	24h	Virus	2	988.1350187107352	1013.5196096279684	-86.11831698171748	0.009638309217623297	Downregulated	Significant
NPLOC4	24h	Virus	3	1044.205538514619	1013.5196096279684	-86.11831698171748	0.009638309217623297	Downregulated	Significant
RRP8	2h	Control	1	187.48317325360853	187.77531885535043	9.51282981403973	0.03446095928683298	Upregulated	Significant
RRP8	2h	Control	2	191.06846414638534	187.77531885535043	9.51282981403973	0.03446095928683298	Upregulated	Significant
RRP8	2h	Control	3	184.77431916605744	187.77531885535043	9.51282981403973	0.03446095928683298	Upregulated	Significant
RRP8	2h	Virus	1	195.60483325294598	197.2881486693902	9.51282981403973	0.03446095928683298	Upregulated	Significant
RRP8	2h	Virus	2	202.03354806323568	197.2881486693902	9.51282981403973	0.03446095928683298	Upregulated	Significant
RRP8	2h	Virus	3	194.22606469198894	197.2881486693902	9.51282981403973	0.03446095928683298	Upregulated	Significant
RRP8	6h	Control	1	196.96694037179563	186.2937688429888	-3.0942824091148333	0.7088897788388993	Downregulated	Not significant
RRP8	6h	Control	2	189.5118527131377	186.2937688429888	-3.0942824091148333	0.7088897788388993	Downregulated	Not significant
RRP8	6h	Control	3	172.40251344403308	186.2937688429888	-3.0942824091148333	0.7088897788388993	Downregulated	Not significant
RRP8	6h	Virus	1	186.01860416390764	183.199486433874	-3.0942824091148333	0.7088897788388993	Downregulated	Not significant
RRP8	6h	Virus	2	185.53325455705823	183.199486433874	-3.0942824091148333	0.7088897788388993	Downregulated	Not significant
RRP8	6h	Virus	3	178.04660058065616	183.199486433874	-3.0942824091148333	0.7088897788388993	Downregulated	Not significant
RRP8	10h	Control	1	208.8707060941355	191.74611818078827	1.0291767946346149	0.9482161357561868	Upregulated	Not significant
